Task,Title,index,label,confidence
"Accept and check containers of mail from large volume mailers, couriers, and contractors.","Postal Service Mail Sorters, Processors, and Processing Machine Operators",0,E0,high
"Accept and check containers of mail or parcels from large volume mailers, couriers, and contractors.","Mail Clerks and Mail Machine Operators, Except Postal Service",1,E0,high
Accept credit applications and verify credit references to provide check-cashing authorization or to establish house credit accounts.,Gambling Change Persons and Booth Cashiers,2,E2,moderate
Accept music requests from event guests.,"Disc Jockeys, Except Radio",3,E0,high
"Accept payment from customers, and make change as necessary.",Fast Food and Counter Workers,4,E0,high
Accept payment on accounts.,Loan Interviewers and Clerks,5,E0,high
"Accept payments, and make change or write charge slips as necessary.","Cooks, Short Order",6,E0,high
"Accept prescriptions for filling, gathering and processing necessary information.",Pharmacy Aides,7,E1,high
Access computerized financial information to answer general questions as well as those related to specific accounts.,"Bookkeeping, Accounting, and Auditing Clerks",8,E1,high
"Access specific areas to string lines, or install terminal boxes, auxiliary equipment, or appliances, using bucket trucks, climbing poles or ladders, or entering tunnels, trenches, or crawl spaces.",Telecommunications Line Installers and Repairers,9,E0,high
Accompany aircraft as a member of the flight crew to monitor and handle cargo in flight.,Aircraft Cargo Handling Supervisors,10,E0,high
Accompany aircraft on flights to make in-flight adjustments and corrections.,Aircraft Mechanics and Service Technicians,11,E0,high
Accompany and assist emergency medical technicians on calls.,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12,E0,high
Accompany and supervise students during meals.,Residential Advisors,13,E0,high
"Accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",Real Estate Sales Agents,14,E2,moderate
"Accompany children to and from school, on outings, and to medical appointments.",Childcare Workers,15,E0,high
"Accompany clients to doctors' offices or on other trips outside the home, providing transportation, assistance, and companionship.",Home Health Aides,16,E0,high
Accompany injured athletes to hospitals.,Athletic Trainers,17,E0,high
"Accompany patients on outings, providing transportation when necessary.",Occupational Therapy Aides,18,E0,high
"Accompany patients to and from wards for medical or dental treatments, shopping trips, or religious or recreational events.",Psychiatric Aides,19,E0,high
"Acquire books, pamphlets, periodicals, audio-visual materials, and other library supplies by checking prices, figuring costs, and preparing appropriate order forms and facilitating the ordering process by providing such information to others.","Library Assistants, Clerical",20,E1,high
"Acquire, distribute and store supplies.",Facilities Managers Administrative Services Managers,21,E2,moderate
"Acquire, maintain, and repair laboratory equipment and tools.","Career/Technical Education Teachers, Postsecondary",22,E2,moderate
"Acquire, or arrange for acquisition of, specimens or graphics required to complete exhibits.",Set and Exhibit Designers,23,E2,moderate
Act as a liaison between a ship's captain and shore personnel to ensure that schedules and budgets are maintained and that the ship is operated safely and efficiently.,Ship Engineers,24,E0,high
"Act as a liaison between talent and directors, providing information that performers or guests need to prepare for appearances and communicating relevant information from guests, performers, or staff to directors.",Media Programming Directors,25,E1,moderate
